1,Engineering Manager,Requirement of Engineering Manager in our company,1,5,1,1,5
2,Human Resource Manager,Requirement of Human Resource Manager in our company,2,2,2,2,1
3,Human Resource Manager,Requirement of Human Resource Manager in our company,3,2,3,3,5
4,Analyst-Product Development,Requirement of Analyst-Product Development in our company,4,1,4,4,7
5,SDE-2,Requirement of SDE-2 in our company,5,7,5,4,6
6,Web Developer,Requirement of Web Developer in our company,6,7,6,5,6
7,Algorithmic Coder,Requirement of Algorithmic Coder in our company,7,7,7,5,1
8,Frontend Developer,Requirement of Frontend Developer in our company,8,2,8,5,2
9,SDE-1,Requirement of SDE-1 in our company,9,3,9,6,7
10,Algorithmic Coder,Requirement of Algorithmic Coder in our company,10,3,10,6,3
11,SDE-2,Requirement of SDE-2 in our company,11,1,11,6,1
12,SDE-1,Requirement of SDE-1 in our company,12,5,12,7,7
13,Algorithmic Coder,Requirement of Algorithmic Coder in our company,13,5,13,8,2
14,Web Developer,Requirement of Web Developer in our company,14,3,14,9,5
15,Engineering Manager,Requirement of Engineering Manager in our company,15,5,15,10,1
16,Hardware Engineer,Requirement of Hardware Engineer in our company,16,1,16,10,2
17,Web Developer,Requirement of Web Developer in our company,17,3,17,10,4
18,Database Administrator,Requirement of Database Administrator in our company,18,1,18,11,2
19,Hardware Engineer,Requirement of Hardware Engineer in our company,19,1,19,11,1
20,SDE-1,Requirement of SDE-1 in our company,20,1,20,11,3
21,Algorithmic Coder,Requirement of Algorithmic Coder in our company,21,6,21,11,4
22,Database Administrator,Requirement of Database Administrator in our company,22,2,22,11,4
23,Analyst-Product Development,Requirement of Analyst-Product Development in our company,23,4,23,12,6
24,Human Resource Manager,Requirement of Human Resource Manager in our company,24,2,24,12,6
25,Database Administrator,Requirement of Database Administrator in our company,25,3,25,12,5
26,Hardware Engineer,Requirement of Hardware Engineer in our company,26,1,26,12,1
27,SDE-2,Requirement of SDE-2 in our company,27,3,27,12,2
28,SDE-2,Requirement of SDE-2 in our company,28,7,28,12,6
29,Analyst-Product Development,Requirement of Analyst-Product Development in our company,29,3,29,12,2
30,Analyst-Product Development,Requirement of Analyst-Product Development in our company,30,3,30,12,3
31,SDE-2,Requirement of SDE-2 in our company,31,4,31,12,5
32,SDE-2,Requirement of SDE-2 in our company,32,7,32,12,4
33,SDE-1,Requirement of SDE-1 in our company,33,7,33,12,2
34,Engineering Manager,Requirement of Engineering Manager in our company,34,4,34,12,2
35,Database Administrator,Requirement of Database Administrator in our company,35,5,35,12,4
36,SDE-3,Requirement of SDE-3 in our company,36,7,36,12,4
37,Web Developer,Requirement of Web Developer in our company,37,1,37,12,1
38,Web Developer,Requirement of Web Developer in our company,38,4,38,12,7
39,Frontend Developer,Requirement of Frontend Developer in our company,39,3,39,12,6
40,SDE-1,Requirement of SDE-1 in our company,40,6,40,12,3
41,Human Resource Manager,Requirement of Human Resource Manager in our company,41,7,41,12,2
42,Human Resource Manager,Requirement of Human Resource Manager in our company,42,6,1,1,1
43,Engineering Manager,Requirement of Engineering Manager in our company,43,6,2,2,2
44,Hardware Engineer,Requirement of Hardware Engineer in our company,44,1,3,3,7
45,Hardware Engineer,Requirement of Hardware Engineer in our company,45,4,4,4,2
46,Engineering Manager,Requirement of Engineering Manager in our company,46,7,5,4,5
47,SDE-3,Requirement of SDE-3 in our company,47,2,6,5,5
48,SDE-1,Requirement of SDE-1 in our company,48,5,7,5,4
49,Algorithmic Coder,Requirement of Algorithmic Coder in our company,49,7,8,5,3
128,Database Administrator,Requirement of Database Administrator in our company,50,7,9,6,1
129,Hardware Engineer,Requirement of Hardware Engineer in our company,51,5,10,6,7
130,Engineering Manager,Requirement of Engineering Manager in our company,52,3,11,6,7
131,Engineering Manager,Requirement of Engineering Manager in our company,53,1,12,7,1
132,Human Resource Manager,Requirement of Human Resource Manager in our company,54,1,13,8,3
133,Web Developer,Requirement of Web Developer in our company,55,2,14,9,7
134,SDE-3,Requirement of SDE-3 in our company,56,4,15,10,7
135,SDE-3,Requirement of SDE-3 in our company,57,3,16,10,4
136,Database Administrator,Requirement of Database Administrator in our company,58,5,17,10,4
137,SDE-1,Requirement of SDE-1 in our company,59,5,18,11,2
138,SDE-3,Requirement of SDE-3 in our company,60,3,19,11,1
139,Hardware Engineer,Requirement of Hardware Engineer in our company,61,3,20,11,1
140,SDE-3,Requirement of SDE-3 in our company,62,5,21,11,1
141,Hardware Engineer,Requirement of Hardware Engineer in our company,63,7,22,11,7
142,SDE-3,Requirement of SDE-3 in our company,64,3,23,12,3
143,Human Resource Manager,Requirement of Human Resource Manager in our company,65,6,24,12,6
144,Web Developer,Requirement of Web Developer in our company,66,6,25,12,3
145,SDE-1,Requirement of SDE-1 in our company,67,2,26,12,7
146,Algorithmic Coder,Requirement of Algorithmic Coder in our company,68,5,27,12,4
147,Human Resource Manager,Requirement of Human Resource Manager in our company,69,2,28,12,7
148,SDE-2,Requirement of SDE-2 in our company,70,2,29,12,6
149,SDE-3,Requirement of SDE-3 in our company,71,3,30,12,4
150,Engineering Manager,Requirement of Engineering Manager in our company,72,6,31,12,1
151,Database Administrator,Requirement of Database Administrator in our company,73,2,32,12,5
152,Web Developer,Requirement of Web Developer in our company,74,3,33,12,6
153,Engineering Manager,Requirement of Engineering Manager in our company,75,1,34,12,2
154,Human Resource Manager,Requirement of Human Resource Manager in our company,76,1,35,12,4
155,Hardware Engineer,Requirement of Hardware Engineer in our company,77,2,36,12,2
156,SDE-3,Requirement of SDE-3 in our company,78,5,37,12,7
157,SDE-1,Requirement of SDE-1 in our company,79,5,38,12,2
158,Engineering Manager,Requirement of Engineering Manager in our company,80,2,39,12,6
159,Hardware Engineer,Requirement of Hardware Engineer in our company,81,6,40,12,3
160,Frontend Developer,Requirement of Frontend Developer in our company,82,6,41,12,1
161,SDE-1,Requirement of SDE-1 in our company,83,1,1,1,1
162,Engineering Manager,Requirement of Engineering Manager in our company,84,1,2,2,3
163,Hardware Engineer,Requirement of Hardware Engineer in our company,85,6,3,3,1
164,Web Developer,Requirement of Web Developer in our company,86,7,4,4,6
165,SDE-2,Requirement of SDE-2 in our company,87,4,5,4,7
166,SDE-3,Requirement of SDE-3 in our company,88,7,6,5,7
167,Algorithmic Coder,Requirement of Algorithmic Coder in our company,89,3,7,5,7
168,SDE-3,Requirement of SDE-3 in our company,90,6,8,5,6
169,SDE-3,Requirement of SDE-3 in our company,91,5,9,6,4
170,SDE-3,Requirement of SDE-3 in our company,92,3,10,6,4
171,Database Administrator,Requirement of Database Administrator in our company,93,6,11,6,5
172,SDE-1,Requirement of SDE-1 in our company,94,2,12,7,5
173,Algorithmic Coder,Requirement of Algorithmic Coder in our company,95,2,13,8,4
174,Database Administrator,Requirement of Database Administrator in our company,96,1,14,9,4
175,Web Developer,Requirement of Web Developer in our company,97,6,15,10,1
176,Web Developer,Requirement of Web Developer in our company,98,1,16,10,2
177,Human Resource Manager,Requirement of Human Resource Manager in our company,1,7,1,1,1
178,Human Resource Manager,Requirement of Human Resource Manager in our company,2,3,2,2,2
179,SDE-1,Requirement of SDE-1 in our company,3,4,3,3,3
180,Engineering Manager,Requirement of Engineering Manager in our company,4,2,4,4,2
181,Human Resource Manager,Requirement of Human Resource Manager in our company,5,7,5,4,1
182,Human Resource Manager,Requirement of Human Resource Manager in our company,6,2,6,5,7
183,SDE-3,Requirement of SDE-3 in our company,7,2,7,5,2
184,Algorithmic Coder,Requirement of Algorithmic Coder in our company,8,1,8,5,3
185,Human Resource Manager,Requirement of Human Resource Manager in our company,9,2,9,6,5
186,Frontend Developer,Requirement of Frontend Developer in our company,10,7,10,6,3
187,Database Administrator,Requirement of Database Administrator in our company,11,7,11,6,7
188,Frontend Developer,Requirement of Frontend Developer in our company,12,7,12,7,2
189,SDE-2,Requirement of SDE-2 in our company,13,4,13,8,3
190,Engineering Manager,Requirement of Engineering Manager in our company,14,1,14,9,7
191,Engineering Manager,Requirement of Engineering Manager in our company,15,2,15,10,2
192,SDE-3,Requirement of SDE-3 in our company,16,7,16,10,1
193,Human Resource Manager,Requirement of Human Resource Manager in our company,17,1,17,10,6
194,Database Administrator,Requirement of Database Administrator in our company,18,6,18,11,2
195,Database Administrator,Requirement of Database Administrator in our company,19,5,19,11,6
196,SDE-3,Requirement of SDE-3 in our company,20,7,20,11,1
197,Hardware Engineer,Requirement of Hardware Engineer in our company,21,2,21,11,5
198,SDE-3,Requirement of SDE-3 in our company,22,2,22,11,7
199,Hardware Engineer,Requirement of Hardware Engineer in our company,23,2,23,12,5
200,Web Developer,Requirement of Web Developer in our company,24,6,24,12,7
201,Human Resource Manager,Requirement of Human Resource Manager in our company,25,2,25,12,4
202,Database Administrator,Requirement of Database Administrator in our company,26,4,26,12,3
203,Analyst-Product Development,Requirement of Analyst-Product Development in our company,27,2,27,12,7
204,SDE-1,Requirement of SDE-1 in our company,28,2,28,12,4
205,SDE-3,Requirement of SDE-3 in our company,29,2,29,12,1
206,Engineering Manager,Requirement of Engineering Manager in our company,30,3,30,12,2
207,Engineering Manager,Requirement of Engineering Manager in our company,31,6,31,12,2
208,SDE-1,Requirement of SDE-1 in our company,32,4,32,12,1
209,Engineering Manager,Requirement of Engineering Manager in our company,33,5,33,12,4
210,SDE-1,Requirement of SDE-1 in our company,34,4,34,12,5
308,Web Developer,Requirement of Web Developer in our company,35,1,35,12,3
309,Web Developer,Requirement of Web Developer in our company,36,2,36,12,6
310,Human Resource Manager,Requirement of Human Resource Manager in our company,37,1,37,12,3
311,Engineering Manager,Requirement of Engineering Manager in our company,38,7,38,12,7
312,Analyst-Product Development,Requirement of Analyst-Product Development in our company,39,7,39,12,6
313,Frontend Developer,Requirement of Frontend Developer in our company,40,2,40,12,3
314,Algorithmic Coder,Requirement of Algorithmic Coder in our company,41,6,41,12,5
315,Engineering Manager,Requirement of Engineering Manager in our company,42,3,1,1,2
316,SDE-1,Requirement of SDE-1 in our company,43,2,2,2,7
317,Algorithmic Coder,Requirement of Algorithmic Coder in our company,44,2,3,3,3
318,Hardware Engineer,Requirement of Hardware Engineer in our company,45,2,4,4,4
319,Web Developer,Requirement of Web Developer in our company,46,2,5,4,2
320,Engineering Manager,Requirement of Engineering Manager in our company,47,4,6,5,5
321,SDE-2,Requirement of SDE-2 in our company,48,4,7,5,1
322,SDE-1,Requirement of SDE-1 in our company,49,1,8,5,5
323,Database Administrator,Requirement of Database Administrator in our company,50,4,9,6,6
324,Engineering Manager,Requirement of Engineering Manager in our company,51,4,10,6,1
325,Human Resource Manager,Requirement of Human Resource Manager in our company,52,4,11,6,2
326,Engineering Manager,Requirement of Engineering Manager in our company,53,5,12,7,7
